friction,density,center_of_mass,scale,max_contact_force,success_rate
0.01 0 0,,,,-2431.8174  5022.6743  6944.397 ,0.95
0.02 0 0,,,,-2781.031     253.50186 -5741.348  ,0.931
0.03 0 0,,,,-3846.3604     -33.939735 -7225.048   ,0.936
0.04 0 0,,,,  668.4535 -2621.6626 -5214.643 ,0.943
0.05 0 0,,,,-1318.8429 -2594.3325 -5857.198 ,0.942
0.1 0 0,,,,-2372.3662 -1718.6743 -5248.707 ,0.955
0.2 0 0,,,,-1553.9352 -3724.0984 -5756.239 ,0.963
0.3 0 0,,,, -601.0554 -5064.7344 -2755.0515,0.956
0.4 0 0,,,,-1560.0071  -6101.733    -509.81445,0.97
0.5 0 0,,,, 10451.619   -1741.5686 -11772.067 ,0.973
0.6 0 0,,,,-1010.23505  3035.5962  12248.541  ,0.975
0.7 0 0,,,, 111667.586  104048.57  -190029.19 ,0.974
0.8 0 0,,,,-2589.925  -2681.683  -4983.3896,0.975
0.9 0 0,,,, -645.35126 -3657.339   -7454.3677 ,0.949
1 0 0,,,,-2389.403  -5954.9077 -4131.584 ,0.925
2 0 0,,,,-2292.4917    448.19537 -7455.4653 ,0.345
3 0 0,,,, -994.10834 -4451.74    -4974.4043 ,0.268
4 0 0,,,,  -49.205643   442.0297   -8989.107   ,0.302
5 0 0,,,,-3591.7131 -4245.077  -6215.9854,0.277
7.5 0 0,,,,  549.6473   620.1368 -8045.481 ,0.245
10 0 0,,,,  6311.96    -5051.3125 -10667.543 ,0.211
12.5 0 0,,,,  2029.3585   3494.7126 -10307.865 ,0.186
15 0 0,,,,198680.44  -14850.373 112968.22 ,0.174
17.5 0 0,,,,-4934.9014 -1749.9828 -7420.769 ,0.23
20 0 0,,,, -9546.014 -11977.741 -10460.959,0.213
30 0 0,,,,-10209.36  -21744.123  10624.285,0.318
40 0 0,,,,-2709.0718 -5882.3276 -7909.383 ,0.323
50 0 0,,,, -5676.05   -16442.805   -3915.2795,0.321
,250.0,,, -46790.01   -32336.695 -337051.   ,0.021
,500.0,,,-4899.1016 -2077.0635 -5054.006 ,0.33
,750.0,,,-4213.602    -368.75476 -6327.7495 ,0.904
,1000.0,,,-10439.036  35085.066 -42888.297,0.943
,1250.0,,,  572.65094  -186.58418 -7793.7236 ,0.924
,1500.0,,, 2048.2932 -3171.979  -6215.753 ,0.922
,1750.0,,,-5079.1284 -3491.495  -8770.849 ,0.911
,2000.0,,,-1769.4308 -2325.9429 -6820.2725,0.887
,5000.0,,,-4527.267   -879.287  -4391.8774,0.749
,7500.0,,,-4873.696  -2456.0825 -3682.8372,0.665
,10000.0,,,-6247.2476 -3994.057  -2706.199 ,0.614
,12500.0,,,-5557.151  -3668.2913  1948.9912,0.5
,15000.0,,,6507.2866 3335.9534 2263.8486,0.403
,17500.0,,,-5981.4272 -2616.5566  1682.6172,0.318
,20000.0,,,-6149.5747 -1680.484   2027.6259,0.247
,22500.0,,,-6245.5938 -2625.6345  1877.6031,0.186
,,0.0 0.0 0.0,,-1716.2134 -5526.2026 -5233.8047,0.753
,,-0.03 0.03 0.03,,-4534.057  9450.805 -5461.748,0.775
,,-0.03 -0.03 0.03,,-3376.503  -2171.7695 -8992.715 ,0.481
,,-0.03 0.03 -0.03,,-5102.1035 -2127.5461 -9273.305 ,0.797
,,0.03 -0.03 -0.03,,-1417.4916 -5755.465  -8104.6704,0.806
,,0.03 0.03 -0.03,,-2678.5542 -3021.6729 -8505.183 ,0.871
,,-0.02 0.02 0.02,, -766.9623 -7274.4985 -4584.574 ,0.785
,,-0.02 -0.02 0.02,,  1595.8473   1714.2463 -11590.604 ,0.663
,,-0.02 0.02 -0.02,, -326.9819 -4067.8145 -6432.4336,0.445
,,0.02 -0.02 -0.02,,-3344.224   4140.7227  4982.7583,0.936
,,0.02 0.02 -0.02,,-6.2869289e-03 -4.1252677e-04  1.1338947e+04,0.798
,,-0.01 0.01 0.01,, 37302.965 -12033.489 -38734.605,0.749
,,-0.01 -0.01 0.01,,-2822.5183 -1398.6991 -5086.73  ,0.929
,,-0.01 0.01 -0.01,, -197.93109 -3348.8438  -7057.5625 ,0.929
,,0.01 -0.01 -0.01,, -5033.272   7672.614 -12336.634,0.705
,,0.01 0.01 -0.01,,-4913.015  -2603.8608 -8521.505 ,0.916
,,-0.1 0.1 0.1,, 5053.424   1417.4104 -8110.7705,0.189
,,-0.1 -0.1 0.1,, -733.06085 -3162.249   -1729.2909 ,0.078
,,-0.1 0.1 -0.1,,-1259.1317 -2963.6062 -8394.7   ,0.485
,,0.1 -0.1 -0.1,,  800.5997  -1117.627     733.93414,0.0
,,0.1 0.1 -0.1,,  -43.6418  1748.041  -4675.557 ,0.0
,,-0.2 0.2 0.2,,-1.2455470e-05 -3.5726248e-06  9.0739911e+02,0.0
,,-0.2 -0.2 0.2,,  -22.580393  -392.1939   -2424.6536  ,0.067
,,-0.2 0.2 -0.2,, 534.75183 1104.9509   479.61008,0.0
,,0.2 -0.2 -0.2,,-357775.88 -137612.34 -537811.25,0.399
,,0.2 0.2 -0.2,,-3088.619  3920.156   764.587,0.0
,,-0.3 0.3 0.3,,   10.340137   636.6868   -1468.1462  ,0.0
,,-0.3 -0.3 0.3,,   95.80549  -562.0401  -1715.2699 ,0.035
,,-0.3 0.3 -0.3,, 135.85313 1434.3895   912.2386 ,0.0
,,0.3 -0.3 -0.3,, 2902.9993 -4585.942  -4853.257 ,0.274
,,0.3 0.3 -0.3,,  1434.9553  -2144.6995 -17231.832 ,0.066
,,-0.4 0.4 0.4,,1.7638413e-04 6.5473643e-05 1.1497360e+03,0.0
,,-0.4 -0.4 0.4,, -658.2269   -525.66486 -2466.4204 ,0.025
,,-0.4 0.4 -0.4,,213.02957 809.91815 409.12228,0.0
,,0.4 -0.4 -0.4,, 3018.7393    201.29092 -4752.761  ,0.318
,,0.4 0.4 -0.4,,  2989.7522    -128.69759 -14285.238  ,0.055
,,-0.5 0.5 0.5,, -890.6141    563.94324 -1072.2281 ,0.0
,,-0.5 -0.5 0.5,,-1391.9457  -725.9358 -1453.0508,0.016
,,-0.5 0.5 -0.5,,-348.17673  875.66595  415.0804 ,0.0
,,0.5 -0.5 -0.5,, 2812.6165 -1081.829  -5813.2476,0.185
,,0.5 0.5 -0.5,, -5681.0996    -291.37347 -13314.466  ,0.043
,,-0.03  0.03  0.0,,-2.0845439e+00 -7.4476606e+03 -6.6171611e+03,0.826
,,-0.03  0.0   0.03,,-4546.1807   582.2697 -8999.305 ,0.948
,, 0.03 -0.03  0.0,,  -66.072464 -1824.3071   -9802.3     ,0.832
,, 0.0  -0.03  0.03,,  364.21884 -7764.659   -4848.899  ,0.444
,,-0.02  0.02  0.0,,-1083.7096   -811.73126 -5716.8853 ,0.923
,,-0.02  0.0   0.02,,-5936.5767 -1535.7054 -8926.433 ,0.933
,, 0.02 -0.02  0.0,,-3368.694 -4341.311 -9026.127,0.868
,, 0.0  -0.02  0.02,,   969.9817     433.22824 -10656.672  ,0.66
,,-0.01  0.01  0.0,,-48754.223 -39937.723  -5628.912,0.916
,,-0.01  0.0   0.01,, -969.5877 -2437.1553 -4931.015 ,0.97
,, 0.01 -0.01  0.0,,-2881.284 -2841.369 -9232.043,0.889
,, 0.0  -0.01  0.01,,-2567.9446 -1446.503  -7953.3467,0.694
,,-0.05  0.05  0.0,, -2179.4094      -17.704338 -10032.137   ,0.708
,,-0.05  0.0   0.05,, -391.8475  7450.665  -5484.399 ,0.381
,, 0.05 -0.05  0.0,,-4178.2954 -1505.2546 -5390.3594,0.58
,, 0.0  -0.05  0.05,, -449.37564 -4439.9     -4711.3037 ,0.348
,,-0.10  0.10  0.0,, 1595.5056  1907.442  -7885.376 ,0.055
,,-0.10  0.0   0.10,,  505.1035  2891.5356 -8743.1045,0.094
,, 0.10 -0.10  0.0,,-1848.1055   -359.26593 -6881.0063 ,0.001
,, 0.0  -0.10  0.10,,-1675.5078  2725.2917 -8008.4604,0.397
,,-0.2   0.2   0.0,,-7.5106491e-06 -8.9451343e-05  8.7534814e+02,0.0
,,-0.2   0.0   0.2,,-5348.841    -160.33424 -5031.7725 ,0.007
,, 0.2  -0.2   0.0,,-319.8911  -494.26904  199.1955 ,0.0
,, 0.0  -0.2   0.2,, -599.884  -1993.5897 -2406.9658,0.05
,,-0.3   0.3   0.0,,-49.754944 308.76578  392.82834 ,0.0
,,-0.3   0.0   0.3,,-1805.9791   -670.67084  1192.4753 ,0.0
,, 0.3  -0.3   0.0,, -723.46747 -1468.4922   1530.4401 ,0.001
,, 0.0  -0.3   0.3,,-3929.2083 -1387.5673 -3800.286 ,0.015
,,-0.4   0.4   0.0,,-917.96906   100.327354  407.01532 ,0.0
,,-0.4   0.0   0.4,,-2094.3638   649.8947 -5112.725 ,0.0
,, 0.4  -0.4   0.0,,-1110.9225 -1113.7887 -4684.966 ,0.0
,, 0.0  -0.4   0.4,, -719.95795 -1712.4789  -4569.236  ,0.011
,, 0.03  0.0   0.0,,-2526.674    599.5621 -5502.952 ,0.913
,,-0.03  0.0   0.0,, -692.0932 -6778.129  -8502.193 ,0.703
,, 0.0   0.03  0.0,,   475.7915       37.746525 -10421.657   ,0.729
,, 0.0  -0.03  0.0,,-1171.7576 -3632.9526 -4337.9272,0.962
,, 0.0   0.0   0.03,,-1045.9231 -5067.252  -7017.238 ,0.818
,, 0.0   0.0  -0.03,,-3722.4604 -4418.301  -8093.0635,0.784
,, 0.02  0.0   0.0,,-5245.5073    475.20416 -2853.1064 ,0.945
,,-0.02  0.0   0.0,,-1438.0275 -4676.681  -5818.7646,0.915
,, 0.0   0.02  0.0,,-1801.3663    109.04999 -8990.199  ,0.921
,, 0.0  -0.02  0.0,,-2725.4846 -1337.2924 -9683.386 ,0.788
,, 0.0   0.0   0.02,,-4281.1294  1099.3206 -7098.72  ,0.915
,, 0.0   0.0  -0.02,,-2729.1128 -2154.5442 -8222.206 ,0.86
,, 0.01  0.0   0.0,,-2267.2446 -4556.56   -8001.5137,0.899
,,-0.01  0.0   0.0,,-6.3899544e-04 -2.7014378e-03  1.0010812e+04,0.913
,, 0.0   0.01  0.0,,  660.35406 -4144.9663  -5980.392  ,0.642
,, 0.0  -0.01  0.0,,-4500.155    -123.64384 -7714.0234 ,0.93
,, 0.0   0.0   0.01,, -222.45966  1566.3903  -7923.593  ,0.896
,, 0.0   0.0  -0.01,, -474.0446  -562.5726 -8164.126 ,0.708
,, 0.05  0.0   0.0,,-4824.305  -2195.5437 -7434.989 ,0.466
,,-0.05  0.0   0.0,,-2367.324  -1488.3217 -5548.544 ,0.066
,, 0.0   0.05  0.0,, 8304.277    780.9243 -3955.1401,0.953
,, 0.0  -0.05  0.0,, -129.13017  -685.0344  -3971.8765 ,0.457
,, 0.0   0.0   0.05,, 2417.6135 -2946.2224 -8393.803 ,0.4
,, 0.0   0.0  -0.05,,-1192.0874 -6647.599  -2859.8848,0.956
,, 0.10  0.0   0.0,,   36.904545  2578.4026   -5791.6235  ,0.0
,,-0.10  0.0   0.0,,  -67.78558   585.7462  -4112.8477 ,0.009
,, 0.0   0.10  0.0,,-10623.966     2323.7249     205.93996,0.084
,, 0.0  -0.10  0.0,,-1336.2152   -951.33307 -4096.198  ,0.131
,, 0.0   0.0   0.10,, 2749.6091   712.324  -6081.162 ,0.289
,, 0.0   0.0  -0.10,, 5433.094   -262.2009 -8692.167 ,0.769
,, 0.50  0.0   0.0,,  471.7719     67.02032 -1032.3319 ,0.0
,,-0.50  0.0   0.0,,3.1986652e-05 4.1921347e-05 6.8133105e+02,0.0
,, 0.0   0.50  0.0,, 5.59532737e-06 -1.07636624e-04  2.86145325e+02,0.0
,, 0.0  -0.50  0.0,,-2193.6804   -759.86615 -1346.435  ,0.004
,, 0.0   0.0   0.50,,13685.88   -1531.5787  9603.517 ,0.147
,, 0.0   0.0  -0.50,,-11955.304   -1433.9482   3018.395 ,0.502
,, 1     0.0   0.0,,  605.1099  -766.8034 -1507.0354,0.0
,,-1    0.0   0.0,,2.1278594e-05 3.5661309e-05 9.1286780e+02,0.001
,, 0.0   1     0.0,,-6.0530979e-02  4.4271308e-01  3.2951724e+02,0.0
,, 0.0  -1     0.0,,  221.5996 -1610.1272 -3865.4133,0.003
,, 0.0   0.0   1,,10321.642  -7869.8037 -7971.1333,0.127
,, 0.0   0.0  -1,,-2197.4497  -879.7694 -6252.174 ,0.37
,,,0.5,-1552.6798  -732.3599   822.7758,0.0
,,,0.75, -4243.5273   -804.8979 -11638.783 ,0.014
,,,1.0, 6105.6963   382.7815 -5309.227 ,0.34
,,,1.25,-1198.5857  4477.4883 -7032.316 ,0.921
,,,1.5,-10439.036  35085.06  -42888.297,0.943
,,,1.75,  773.4259 -2784.6882 -9707.362 ,0.607
,,,2.0,  6472.988      569.90546 -11239.629  ,0.044
,,,2.25,  3384.6921   3478.4656 -11801.177 ,0.012
,,,2.5,9.2720318e+00 9.3439453e+03 6.9280996e+03,0.016
,,,2.75, 3338.7427 -3536.425  -9550.878 ,0.049
,,,3.0, 7242.0986 -9802.526  -5053.459 ,0.039
,,,3.25,9885.012  4405.789  1681.3729,0.036
,,,3.5, -8463.095 -10500.353   8403.162,0.045
,,,3.75,10388.428   5716.9624 -2215.53  ,0.029
,,,4.0,-16667.77     5922.9775   -818.1931,0.009
,,,4.25, 3102.6624 13290.205  -1456.187 ,0.004
,,,4.5, 1642.8943   676.0059 28480.988 ,0.0
,,,4.75,-7624.455  17484.486   1758.5685,0.0
,,,5.0,1.7612935e+03 7.4199839e+00 1.8227805e+04,0.0
,,,5.25,19141.297  -6960.7554  3950.0237,0.0
,,,5.5, 10707.265 -12087.183 -19375.666,0.0
,,,5.75, 36710.457    7225.3003 -19370.705 ,0.0
,,,6.0, 49322.57    -8012.4272 -14188.763 ,0.0
,,,6.25,15394.978 66694.35  -7437.059,0.0
,,,6.5, -83266.43 -262068.    990040.5 ,0.0
,,,7.0,10564.749     383.04855 84073.61   ,0.0
,,,7.5,-56546.81   22290.71   41127.965,0.0
,,,8.0,113753.5      -555.9106 -28752.672 ,0.0
,,,8.5,109958.75   8876.36  83366.57,0.0
,,,9.0,278555.34     3221.8398 -34632.742 ,0.0
,,,9.5,153939.02   -15199.879    3210.3352,0.0
,,,10.0,152166.27   10545.617   2787.619,0.0
