friction,density,center_of_mass,scale,max_contact_force,success_rate
0.01 0 0,,,, 115001.33 -471282.4   -69018.13,0.945
0.02 0 0,,,,-1957.842  -5517.6704 -3857.0447,0.945
0.03 0 0,,,,-2530.59   -2093.1504 -5222.3965,0.944
0.04 0 0,,,,-2456.2168   -125.38597 -5378.4907 ,0.943
0.05 0 0,,,, -337.55176 -4453.796   -4770.4233 ,0.942
0.1 0 0,,,,-71878.42  86027.54  27021.05,0.95
0.2 0 0,,,,-1682.494     209.77733 -5249.5073 ,0.963
0.3 0 0,,,, -1412.245  -9232.933 -12795.143,0.965
0.4 0 0,,,,-1782.9568  5418.0146  1650.5652,0.966
0.5 0 0,,,,  -2200.517    6124.068 -132126.25 ,0.971
0.6 0 0,,,,-2437.5427 -4896.4565 -6051.5728,0.961
0.7 0 0,,,, 2.3301414e-03 -1.0869860e-03  1.3929241e+04,0.975
0.8 0 0,,,,-3427.0757 -1729.1902 -5165.769 ,0.966
0.9 0 0,,,,-1901.7987 -2620.846  -5755.1816,0.953
1 0 0,,,,-1667.082  -5595.1357 -3913.603 ,0.93
2 0 0,,,,   60.151997   257.29892  -8092.6836  ,0.346
3 0 0,,,,-2552.275  -1597.4357 -6441.964 ,0.255
4 0 0,,,,  4405.226  -3299.578 -13802.971,0.294
5 0 0,,,,-2997.4146  -913.23   -6223.4185,0.277
7.5 0 0,,,,-5620.85        38.434437 -8702.8     ,0.239
10 0 0,,,, -2440.3303   3546.567  -11742.322 ,0.207
12.5 0 0,,,, 3611.4963 -4478.4365 -6190.741 ,0.174
15 0 0,,,,-1393.8159  3029.4734 -9665.751 ,0.171
17.5 0 0,,,, 2389.5522  3095.8386 -7578.385 ,0.219
20 0 0,,,,-4844.187 -2795.773 -8272.177,0.224
30 0 0,,,, -9313.644 -20372.346   9978.132,0.31
40 0 0,,,, 10601.048      -78.38679 -26619.102  ,0.327
50 0 0,,,,-221875.12 -347604.25 -105798.82,0.322
,250.0,,, -3843.6248  -1814.2625 -11765.813 ,0.023
,500.0,,, 1643.8922     99.76154 -6543.594  ,0.321
,750.0,,,  331.68936 -3185.6094  -6668.5293 ,0.866
,1000.0,,,14699.766  -2817.743   3418.0686,0.954
,1250.0,,,-3470.941  -1547.3988 -5342.8877,0.939
,1500.0,,,-4045.962  -1448.8097 -6154.428 ,0.93
,1750.0,,,-20522.268  -9201.574  -2345.811,0.903
,2000.0,,, -297.08124  -942.6404  -8308.567  ,0.887
,5000.0,,,-5181.693    -552.11646 -5118.733  ,0.764
,7500.0,,,-15771.494  -7792.601 -10396.4  ,0.677
,10000.0,,,-13045.837 -34302.668 -24830.957,0.587
,12500.0,,, 5180.69    -4318.4854   -291.05252,0.512
,15000.0,,,-5702.564  -3334.9236  1633.2905,0.426
,17500.0,,,-5420.131  -3171.1838  2362.694 ,0.322
,20000.0,,, 207.45036  222.80034 7006.5537 ,0.235
,,0.0 0.0 0.0,,  7958.8965  55359.703  -55670.52  ,0.022
,,-0.03 0.03 0.03,,14693.146 -9752.017  6965.443,0.022
,,-0.03 -0.03 0.03,,  602.3969  4115.255  -3395.591 ,0.07
,,-0.03 0.03 -0.03,,-15912.091  15696.089  -3900.557,0.03
,,0.03 -0.03 -0.03,, 5399.9756 23549.592  15964.783 ,0.019
,,0.03 0.03 -0.03,,-7918.9263 -1781.9307 -8476.162 ,0.03
,,-0.02 0.02 0.02,, 10896.251    3675.8032 -22015.828 ,0.016
,,-0.02 -0.02 0.02,,-1508.5302      85.290054 -6074.2056  ,0.067
,,-0.02 0.02 -0.02,,-5476.3994 -9470.978  15223.431 ,0.017
,,0.02 -0.02 -0.02,,10607.561 -1520.795 -2387.835,0.02
,,0.02 0.02 -0.02,,11708.191  2293.73  14777.74 ,0.028
,,-0.01 0.01 0.01,,-3491.2275  1523.0658 -9842.9795,0.02
,,-0.01 -0.01 0.01,,-11518.854    7772.0356   1282.1975,0.02
,,-0.01 0.01 -0.01,, -45058.82  -95619.56 -122555.81,0.021
,,0.01 -0.01 -0.01,, -1003.54736  -2145.9226  -10107.032  ,0.017
