friction,density,center_of_mass,scale,max_contact_force,success_rate
0.01 0 0,,,,-37405.812 -17036.691  20572.467,0.97
0.02 0 0,,,,-6752773.   -3707726.8   -849730.94,0.979
0.03 0 0,,,,54041.49   6758.46  18487.771,0.974
0.04 0 0,,,,358503.1    41886.926 479181.88 ,0.975
0.05 0 0,,,,  8991.782    3544.0042 -20952.408 ,0.976
0.1 0 0,,,, 14984.025   -2198.5867 -11299.287 ,0.977
0.2 0 0,,,, 61353.54   58428.87  -23377.363,0.983
0.3 0 0,,,,-2.1497092e+05  2.4414433e-02  2.7314397e+05,0.986
0.4 0 0,,,, 89062.18   29979.014 -68642.43 ,0.988
0.5 0 0,,,,13092.649   5158.2646 23542.266 ,0.988
0.6 0 0,,,, 55356.055  -9843.128 -16965.19 ,0.992
0.7 0 0,,,, 14920.86  88597.7  117609.39,0.993
0.8 0 0,,,,24547.775 39929.387 63282.258,0.991
0.9 0 0,,,, 31204.773  29433.021 -20041.102,0.994
1 0 0,,,,-311222.2   162400.72  507864.16,0.996
2 0 0,,,, -94470.695 -116898.25    16064.829,0.996
3 0 0,,,, 21807.037   -15412.92      -771.73773,0.995
4 0 0,,,,-3157.133   3248.4336 -9294.445 ,0.995
5 0 0,,,,-5522.5854   131.2497 -6399.918 ,0.994
7.5 0 0,,,, -4972.014    1547.1486 -13172.291 ,0.993
10 0 0,,,,-12538.079  12301.108 -23281.885,0.994
12.5 0 0,,,,13481.483     234.70921  4054.3284 ,0.994
15 0 0,,,,-32784.777    3704.3354 -32072.81  ,0.992
17.5 0 0,,,,  9915.453 -20561.996 -14784.777,0.992
20 0 0,,,,-176973.83  -317734.53   -21201.883,0.992
30 0 0,,,, -7746.5903  10034.233  -14842.55  ,0.994
40 0 0,,,,-19691.572   -3148.2004 -13480.716 ,0.996
50 0 0,,,, -2833.8428   1439.8768 -11043.138 ,0.994
,250.0,,, -2046.3163 -12425.22   -20745.252 ,0.208
,500.0,,, -6055.9375 -52270.023    8919.132 ,0.882
,750.0,,,35100.676 39811.95  -2327.981,0.991
,1000.0,,, 59038.062  37990.496 -30130.117,0.993
,1250.0,,,16315.218  10230.464  -4442.1636,0.993
,1500.0,,, 4080.9546  -3536.6545   -115.02274,0.991
,1750.0,,,-17786.49  -11594.544 -31301.273,0.989
,2000.0,,,-5460.554  -1370.1062  1200.7585,0.991
,5000.0,,,-16434.982  15298.784   7052.61 ,0.961
,7500.0,,, -35839.05 -146648.22  -64747.98,0.926
,10000.0,,, -58745.71 -304697.22 -123493.62,0.898
,12500.0,,,-11440.509 -49751.207 -47703.594,0.816
,15000.0,,, 33585.812  11024.997 -15319.538,0.661
,17500.0,,,-11221.374 -67088.375 -43497.816,0.411
,20000.0,,,-4.9582031e+04 -2.8777404e-02  1.1334391e+05,0.129
,22500.0,,,-1.4007838e+04  3.9711670e-04  1.8324945e-03,0.038
,,0.0 0.0 0.0,, 32098.006 -28739.021 140179.67 ,0.988
,,-0.03 0.03 0.03,,-30058.303  34217.51   12022.58 ,0.984
,,-0.03 -0.03 0.03,, 18525.992     -854.27124 -16648.254  ,0.981
,,-0.03 0.03 -0.03,,-20535.188 170470.52   62702.54 ,0.988
,,0.03 -0.03 -0.03,,11237.93   -3487.2104 -4490.481 ,0.992
,,0.03 0.03 -0.03,,-95153.05    -2622.4734  21835.514 ,0.986
,,-0.02 0.02 0.02,, -2218.2124  18223.033  -14198.28  ,0.984
,,-0.02 -0.02 0.02,, -2235.6772  20802.234  164214.5   ,0.991
,,-0.02 0.02 -0.02,, -5238.2876  41676.023  -39852.258 ,0.993
,,0.02 -0.02 -0.02,,-12684.908    -538.9745   5331.1113,0.996
,,0.02 0.02 -0.02,, 43564.168  136440.      -7833.8335,0.994
,,-0.01 0.01 0.01,,-7130.077 -5870.054 45807.535,0.99
,,-0.01 -0.01 0.01,,-16660.018  29354.621 -28218.86 ,0.988
,,-0.01 0.01 -0.01,,-27188.875  40764.777 -22043.75 ,0.992
,,0.01 -0.01 -0.01,,-164777.97   214115.34    52248.117,0.989
,,0.01 0.01 -0.01,,36466.355  -5252.6875  2137.0598,0.991
,,-0.1 0.1 0.1,,-5.9942314e-03  1.9083280e+05  2.3539494e+05,0.974
,,-0.1 -0.1 0.1,,-95673.27   13033.171  65457.996,0.976
,,-0.1 0.1 -0.1,,115172.414  23997.836  21927.227,0.996
,,0.1 -0.1 -0.1,,58962.37    5595.0425 -1919.2866,0.989
,,0.1 0.1 -0.1,, 47265.656  12808.878 -36263.05 ,0.994
,,-0.2 0.2 0.2,, 78013.38   -10900.517    2685.6223,0.931
