friction,density,center_of_mass,scale,max_contact_forcesuccess_rate,max_contact_force,success_rate
0.01 0 0,,,,,385451.28 433598.47 283348.03,0.969
0.02 0 0,,,,,33100.777   5589.893  -3501.3105,0.965
0.03 0 0,,,,,-368.99976   92.5651  8685.098  ,0.97
0.04 0 0,,,,,-2863.8005  1306.9855 14989.568 ,0.971
0.05 0 0,,,,, 104118.38  882424.4  1857101.  ,0.965
0.1 0 0,,,,,-5.9429393e-03 -6.8556625e+04  7.0890713e+03,0.973
0.2 0 0,,,,,  3894.0103  26293.766  -94727.32  ,0.978
0.3 0 0,,,,,-4376.476   1637.6726 16689.31  ,0.982
0.4 0 0,,,,, 28876.234   8953.032 -18511.94 ,0.983
0.5 0 0,,,,,-2240.6406   -236.71156 18650.379  ,0.982
0.6 0 0,,,,,-19059.107  35239.934  88475.46 ,0.985
0.7 0 0,,,,,-45412.707 -13675.319 149177.62 ,0.978
0.8 0 0,,,,, -7126.6543 126714.984  -41817.625 ,0.972
0.9 0 0,,,,,-35513.2    85630.66   -2057.675,0.963
1 0 0,,,,, 1.2262185e+02 -1.5224383e+05  1.2998964e+05,0.938
2 0 0,,,,, 949497.56  -340002.44   121931.164,0.265
3 0 0,,,,, 14313.219 -19497.432 104948.18 ,0.43
4 0 0,,,,, 8069.3477 -3241.8281   412.2429,0.474
5 0 0,,,,,-1325.2616  5461.029  75440.82  ,0.505
7.5 0 0,,,,, -9826.971     -242.17422 -30817.025  ,0.534
10 0 0,,,,, 97992.125 -25078.133 343470.34 ,0.549
12.5 0 0,,,,, -6026.863     -953.90125 -64676.65   ,0.57
15 0 0,,,,,48582.926  42173.133  -4160.0312,0.575
17.5 0 0,,,,,-12667.684  -13844.456    4389.8286,0.561
20 0 0,,,,,  5238.627  10184.019 -17543.838,0.51
30 0 0,,,,,122073.6     -4358.5015  18470.125 ,0.567
40 0 0,,,,, -72733.04   -5862.32 -266249.88,0.557
50 0 0,,,,,53117.242  -7009.5986 47227.816 ,0.543
,250.0,,,,21294.77  34927.457 38293.824,0.312
,500.0,,,,101523.53  62780.63  88170.39,0.937
,750.0,,,, 9.0341562e+04 -6.9109539e+04  4.1721466e+01,0.981
,1000.0,,,,-19059.107  35239.938  88475.445,0.985
,1250.0,,,,11298.018    6632.088     727.59235,0.984
,1500.0,,,,  1756.167   -1233.4923 -14048.401 ,0.98
,1750.0,,,, -4812.539  11364.192 -22335.977,0.979
,2000.0,,,, 2230.2922   -4148.099      -45.625454,0.976
,5000.0,,,,  877.1343 -9301.132   4214.467 ,0.931
,7500.0,,,,-315951.3   -111297.125 -143331.17 ,0.901
,10000.0,,,, 2088.2126 19112.35   68476.664 ,0.856
,12500.0,,,,-20962.037 -47754.49  -34698.11 ,0.793
,15000.0,,,, 133609.25 -117557.66  846932.4 ,0.736
,17500.0,,,,-37827.543 -79558.98  -61380.848,0.561
,20000.0,,,, -3744.4927 -26548.516  -29739.025 ,0.254
,,0.0 0.0 0.0,,,2375260.2  -732034.9  -420839.44,0.33
,,-0.03 0.03 0.03,,,  62209.45   111786.125 -135148.98 ,0.131
,,-0.03 -0.03 0.03,,,-4312.8013 18185.65   11956.11  ,0.172
,,-0.03 0.03 -0.03,,,-390660.78  -291531.84    26430.248,0.275
,,0.03 -0.03 -0.03,,,-11521.092  55772.62  -25678.271,0.273
,,0.03 0.03 -0.03,,,114152.055  97864.67  -39125.965,0.309
,,-0.02 0.02 0.02,,,-24389.08     8422.759    4561.9795,0.292
,,-0.02 -0.02 0.02,,,1100398.   515901.8 -532374.9,0.293
,,-0.02 0.02 -0.02,,, 282857.94    32709.566 -112349.12 ,0.344
,,0.02 -0.02 -0.02,,, 237639.1    -11991.484 -208626.7  ,0.247
,,0.02 0.02 -0.02,,,  66592.164  -42473.824 -195602.48 ,0.263
,,-0.01 0.01 0.01,,, 48768.395 -36256.324  30601.473,0.315
,,-0.01 -0.01 0.01,,, 79963.43  -42295.227  -8858.394,0.369
,,-0.01 0.01 -0.01,,,152206.84      -206.12027  25922.766  ,0.374
,,0.01 -0.01 -0.01,,,-24446.4    -2705.353  -7619.758,0.358
,,0.01 0.01 -0.01,,,-15294.789    3144.2612 -10129.509 ,0.257
,,-0.03  0.03  0.0,,,47210.387  -5444.943   2804.4385,0.235
,,-0.03  0.0   0.03,,,314127.38   -62162.29     5954.5435,0.416
,, 0.03 -0.03  0.0,,,4815716.5  6637290.   -224259.67,0.284
,, 0.0  -0.03  0.03,,,449174.3  292241.16 105998.87,0.233
,,-0.02  0.02  0.0,,,-12566.295  10948.902 -15229.811,0.27
,,-0.02  0.0   0.02,,,-13333.035  43571.63    8839.697,0.333
,, 0.02 -0.02  0.0,,,5048350.5 2015004.  1577768.1,0.301
,, 0.0  -0.02  0.02,,,36863.664     381.17798  -607.11786,0.266
,,-0.01  0.01  0.0,,, -9672.861  30284.596 -31351.426,0.323
,,-0.01  0.0   0.01,,,-76698.24  -77090.52  -28532.064,0.321
,, 0.01 -0.01  0.0,,,20926.805  5087.141 -2386.806,0.288
,, 0.0  -0.01  0.01,,, 716679.25  -81212.69 -321235.34,0.3
,,-0.05  0.05  0.0,,, 19099.656    5944.2065 -18340.887 ,0.304
,,-0.05  0.0   0.05,,, 7556.4287 -4470.3047 -2338.789 ,0.607
,, 0.05 -0.05  0.0,,, 112292.16     6630.576 -147998.64 ,0.311
,, 0.0  -0.05  0.05,,, 158241.2  -468636.78  146268.1 ,0.112
,,-0.10  0.10  0.0,,, 1.4605203e-02 -3.0665495e-02  1.6572728e+05,0.291
,,-0.10  0.0   0.10,,,25741.303   2036.5504  5898.9385,0.541
,, 0.10 -0.10  0.0,,, -1555.1526   9503.181  -12459.282 ,0.26
,, 0.0  -0.10  0.10,,, 7.0910784e-03 -2.7163711e-03  2.0480162e+04,0.286
,, 0.03  0.0   0.0,,,508010.66   64073.55  -86245.984,0.252
,,-0.03  0.0   0.0,,,51515.293 13930.18  -9724.26 ,0.281
,, 0.0   0.03  0.0,,,33833.832 10711.248 -2099.564,0.328
,, 0.0  -0.03  0.0,,,42075.887   6953.3      786.5539,0.36
,, 0.0   0.0   0.03,,,  39283.035  -19861.828 -153982.45 ,0.216
,, 0.0   0.0  -0.03,,,   -68.61239   9296.893   -18026.309  ,0.245
,, 0.02  0.0   0.0,,,-115700.24  265416.9  -270757.03,0.247
,,-0.02  0.0   0.0,,, -9253.328  12559.33  -25110.71 ,0.433
,, 0.0   0.02  0.0,,,-38862.965  14153.708 -23662.098,0.329
,, 0.0  -0.02  0.0,,,-29189.373  11055.799 -13873.989,0.202
,, 0.0   0.0   0.02,,, 1.8240112e+08 -2.8070282e+07 -7.3986088e+07,0.365
,, 0.0   0.0  -0.02,,, -8927.006  53381.777 -79864.05 ,0.36
,, 0.01  0.0   0.0,,,  59506.523  169369.23  -134685.75 ,0.357
,,-0.01  0.0   0.0,,,1008159.44   509479.78    -8361.213,0.352
,, 0.0   0.01  0.0,,, 11124.114  42149.855 -99694.984,0.257
,, 0.0  -0.01  0.0,,,-57537.098 -19209.34   19414.74 ,0.194
,, 0.0   0.0   0.01,,,-14968.701  44666.426 -30740.732,0.336
,, 0.0   0.0  -0.01,,, 15292.946  52728.668 -35578.363,0.319
,, 0.05  0.0   0.0,,, 282546.28     -1204.5789 -147969.84  ,0.345
,,-0.05  0.0   0.0,,,-120769.43      4804.2544 -154153.6   ,0.269
,, 0.0   0.05  0.0,,,-118076.8    -43725.664   70177.484,0.267
,, 0.0  -0.05  0.0,,,-1225852.1   -755452.9    -33888.76,0.305
,, 0.0   0.0   0.05,,, 9827.535    -656.95935 14187.7295 ,0.18
,, 0.0   0.0  -0.05,,,-68609.3  451010.06 -23842.86,0.365
,, 0.10  0.0   0.0,,,10804.835   6925.5083  2120.3645,0.279
,,-0.10  0.0   0.0,,,  8018.91    -6596.3784 -18509.828 ,0.246
,, 0.0   0.10  0.0,,,35272.18   16564.059  -8136.0054,0.323
,, 0.0  -0.10  0.0,,,42538.832 14020.281 -7450.971,0.236
,, 0.0   0.0   0.10,,,-21014.06   22135.678 -26092.607,0.175
,, 0.0   0.0  -0.10,,, 10643.116 -54865.527 -66872.46 ,0.114
,, 0.50  0.0   0.0,,,-29634.99  71990.05 -68870.46,0.41
,,-0.50  0.0   0.0,,,-2.1433699e-04  3.5325950e-04  1.2058893e+03,0.0
,, 0.0   0.50  0.0,,,-45106.598    5109.2407  20815.98  ,0.343
,, 0.0  -0.50  0.0,,,  447.6224 18499.479   7714.275 ,0.042
,, 0.0   0.0   0.50,,, -650.456  -1405.7821 13930.272 ,0.147
,, 0.0   0.0  -0.50,,, 26975.854   -13065.503     -809.71155,0.099
,, 1  0.0   0.0,,,20477.973  -6122.5073 19208.87  ,0.13
,,1  0.0   0.0,,,   855.8986  15423.808  -10673.709 ,0.253
,, 0.0   1  0.0,,,-2183.8801     -13.926229  3453.8218  ,0.005
,, 0.0  -1  0.0,,,-17320.191    -299.5346   6664.7183,0.034
,, 0.0   0.0   1,,,-2555.8274 12464.005   2993.613 ,0.17
,, 0.0   0.0  -1,,,-7.0790818e-04 -1.0119564e-03  5.5543539e+04,0.048
,,,0.5,,-2777.6233  1850.2065 -7169.382 ,0.001
,,,0.75,,-293502.75 -323231.78   88090.99,0.031
,,,1.0,,-19630.922    2042.4906 -35038.914 ,0.443
,,,1.25,, 53465.66  -11687.369  79936.15 ,0.975
,,,1.5,,-19059.113  35239.93   88475.46 ,0.985
,,,1.75,, -4155.253  14501.933 -10801.853,0.764
,,,2.0,,5.4359564e-04 8.7337365e-04 7.4041167e+03,0.149
,,,2.25,, 3.5172574e-02 -1.9731041e-02  5.4262081e+05,0.0
,,,2.5,,-61606.47    5710.513  40504.152,0.001
,,,2.75,, 3.4426863e-04 -6.8533444e-04  1.7060051e+04,0.002
,,,3.0,,  17.098978 -273.21533  4347.778   ,0.0
,,,3.25,,1.3950828e-01 9.7272523e-02 9.2810294e+05,0.001
,,,3.5,,1.16367355e-01 5.64834699e-02 1.81186788e+06,0.008
,,,3.75,,-1814588.2  -1569957.     536472.44,0.006
,,,4.0,, -63268.49 -203117.02  419298.5 ,0.02
,,,4.25,,-1.4425402e+00 -2.1564310e-02  6.1972385e+06,0.016
,,,4.5,,-4.9298543e-02  1.7623855e-04  6.5562738e+05,0.017
,,,4.75,,  225981.6    -54353.08 10038161.  ,0.049
,,,5.0,,-515272.2  1306326.4  -871899.25,0.096
,,,5.25,,-5.8873687e-02 -1.9420061e-01  3.4612620e+06,0.177
,,,5.5,,118855.016 146591.66  191460.69 ,0.273
,,,5.75,,-159708.23  139004.42  317191.88,0.298
,,,6.0,,-194702.34    11370.381   48115.59 ,0.228
