,method,environment,success,num_envs,run_name,model_name,split,distribution
0,scripted,EnvBottle-v0-phys-rand,0.1666666666666666,30,irrelevant,model_1999.pt,test,"beta(a=2.5, b=1.9)"
1,scripted,EnvBottle-v0-phys-rand-with-cond,0.2333333333333333,30,irrelevant,model_1999.pt,test,"beta(a=2.5, b=1.9)"
2,scripted,EnvBottle-v0-phys-rand,0.3666666666666666,30,irrelevant,model_1999.pt,test,"beta(a=2.5, b=6.8)"
3,scripted,EnvBottle-v0-phys-rand-with-cond,0.2666666666666666,30,irrelevant,model_1999.pt,test,"beta(a=2.5, b=6.8)"
4,scripted,EnvBottle-v0-phys-rand-with-cond,0.3212890625,1024,irrelevant,model_1999.pt,test,"beta(a=2.5, b=6.8)"
5,scripted,EnvBottle-v0-phys-rand,0.4677734375,1024,irrelevant,model_1999.pt,test,"beta(a=2.5, b=6.8)"
6,scripted,EnvBottle-v0-phys-rand-with-cond,0.1904296875,1024,irrelevant,model_1999.pt,test,"beta(a=2.5, b=1.9)"
7,scripted,EnvBottle-v0-phys-rand,0.216796875,1024,irrelevant,model_1999.pt,test,"beta(a=2.5, b=1.9)"
8,scripted,EnvBottle-v0-phys-rand-with-cond,0.04,50,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
9,scripted,EnvBottle-v0-phys-rand,0.04,50,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
10,scripted,EnvBottle-v0-phys-rand-with-cond,0.06,50,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
11,scripted,EnvBottle-v0-phys-rand,0.1,50,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
12,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,50,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
13,scripted,EnvBottle-v0-phys-rand,0.0,50,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
14,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,50,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
15,scripted,EnvBottle-v0-phys-rand,0.0,50,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
16,scripted,EnvBottle-v0-phys-rand-with-cond,0.0830078125,1024,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
17,scripted,EnvBottle-v0-phys-rand,0.1513671875,1024,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
18,scripted,EnvBottle-v0-phys-rand-with-cond,0.083984375,1024,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
19,scripted,EnvBottle-v0-phys-rand,0.1328125,1024,irrelevant,model_1999.pt,test,"beta(a=6.1, b=50.0)"
20,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,1024,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
21,scripted,EnvBottle-v0-phys-rand,0.0009765625,1024,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
22,scripted,EnvBottle-v0-phys-rand-with-cond,0.0,1024,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
23,scripted,EnvBottle-v0-phys-rand,0.0009765625,1024,irrelevant,model_1999.pt,test,"beta(a=50, b=6.1)"
